Model	Type	TrainingTrials	AreaAbs	Pattern3i	CAi_1	CAi_2	CAi_3	CAi_1_2	CAi_1_3	CAi_2_3	CAi_1_2_3
M01	pair33sc	4000tt	5	P03	#56#100#129#301#399#	#255#291#438#441#460#569#587#	#151#315#331#337#378#	#508#	#327#352#406#505#558#581#	#170#410#446#491#	#
M01	pair33sc	4000tt	6	P03	#114#199#202#355#	#17#45#364#442#	#217#324#436#500#	#2#136#289#544#	#77#254#432#529#	#296#306#319#513#	#
M01	pair33sc	4000tt	7	P03	#	#	#	#	#	#	#
M01	pair33sc	4000tt	8	P03	#	#	#	#	#392#	#	#540#584#
M01	pair33sc	4000tt	9	P03	#229#384#	#437#	#387#	#489#	#	#	#
M01	pair33sc	4000tt	10	P03	#	#415#567#	#404#	#286#	#	#	#
M01	pair33sc	4000tt	11	P03	#	#	#	#	#	#	#435#560#
M01	pair33sc	4000tt	12	P03	#	#	#	#	#	#	#
M01	pair33sc	4000tt	1	P04	#302#455#504#587#	#245#465#521#615#	#67#188#206#507#	#85#171#400#625#	#87#115#200#397#	#208#228#516#527#	#
M01	pair33sc	4000tt	2	P04	#8#66#85#89#174#452#497#506#553#	#32#134#256#304#339#458#474#615#618#	#144#212#352#519#	#163#449#	#67#154#231#	#36#226#383#	#
M01	pair33sc	4000tt	3	P04	#3#41#64#80#224#373#526#553#	#65#423#444#491#584#614#	#118#199#216#249#	#168#196#248#	#43#115#267#	#153#307#396#596#	#507#
M01	pair33sc	4000tt	4	P04	#326#334#483#486#521#543#555#	#93#274#324#328#369#	#67#148#213#256#319#346#402#600#	#386#563#	#55#399#	#195#249#479#	#
M01	pair33sc	4000tt	5	P04	#17#259#309#402#510#563#625#	#70#347#372#520#528#538#	#104#271#318#442#	#244#530#	#307#322#353#394#423#434#	#225#267#417#	#
M01	pair33sc	4000tt	6	P04	#109#333#441#509#	#20#311#429#558#	#240#541#556#599#	#407#413#423#591#	#100#281#472#475#	#50#168#267#300#	#
M01	pair33sc	4000tt	7	P04	#	#	#	#	#	#	#
M01	pair33sc	4000tt	8	P04	#	#	#	#	#	#	#
M01	pair33sc	4000tt	9	P04	#	#147#	#215#266#	#	#	#	#505#
M01	pair33sc	4000tt	10	P04	#	#166#	#161#266#348#460#	#	#258#	#	#
M01	pair33sc	4000tt	11	P04	#	#	#	#	#	#	#
